"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003731710567","https://ae04.alicdn.com/kf/Sf271d9b76b314a9798c7e2b0283cd1d8L.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/341964756322.mp4","Rc Cars Off Road 4x4 with LED Headlight,1/16 Scale Rock Crawler 4WD 2.4G 50KM High Speed Drift Remote Control Monster Truck Toys","USD 123.40","USD 58.00","53%","USD","8.0","USD 4.64","984","94.5%","https://s.click.aliexpress.com/e/_DlaxebN"
"1005003591397082","https://ae04.alicdn.com/kf/S6ceff57bc51c4fcd82eb340021ccc4ed4.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/337805121530.mp4","WPL D12mini 1:16 2WD RC Car Simulation Drift Climbing Truck LED Light On-road 130 Brushed Motor D12 Car 1/16 For Kids Gifts Toys","USD 48.11","USD 32.23","33%","USD","8.0","USD 2.58","39","91.6%","https://s.click.aliexpress.com/e/_Dmmnnjt"
"1005004032010783","https://ae04.alicdn.com/kf/Saae86f8067d9495299536115b02dfca8D.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100016049315.mp4","2022 New HS 18312 18321 18302 RC Car 40+MPH 1/18 Updated Version 2.4G 4WD High Speed Fast Remote Controlled Large Track Toys","USD 76.44","USD 47.39","38%","USD","7","USD 3.32","102","93.8%","https://s.click.aliexpress.com/e/_DBNwtqR"
"1000007009840","https://ae04.alicdn.com/kf/H60d9cec3c1ba4258b964c4b52b2151bcC.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/50285700852.mp4","HSP RC Car 4wd 1:10 On Road Racing Two Speed Drift Vehicle Toys 4x4 Nitro Gas Power High Speed Hobby Remote Control Car","USD 231.36","USD 196.65","15%","USD","8.0","USD 15.73","79","100.0%","https://s.click.aliexpress.com/e/_Dl7WjVH"
"1005004022421188","https://ae04.alicdn.com/kf/Sf42e3f0f2b30457f8878f79b2e6d1bb7q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/351496822799.mp4","2 IN 1 Stunt RC Car 360 Rotation Double Sided Driving Deformed Car Crawler Radio Remote Control Cars Hot Kids Toys For Children","USD 22.92","USD 13.75","40%","USD","8.0","USD 1.10","35","98.0%","https://s.click.aliexpress.com/e/_DdRMOUJ"
"1005003100196495","https://ae04.alicdn.com/kf/H13c6fbfc63c64871b561a3839c46a502p.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/301783311847.mp4","WLtoys 144001 2.4G RC Car Racing Competition 60 km/h Metal Chassis 4wd Electric RC Formula Cars Remote Control Toys for Children","USD 110.14","USD 60.58","45%","USD","7","USD 4.24","24","84.0%","https://s.click.aliexpress.com/e/_DdPzsGJ"
"1005003263391813","https://ae04.alicdn.com/kf/Ha86f2e2a65744f13883212244faa7e93O.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/325493620910.mp4","WLtoys 124016 /124017 V2 Brushless Truck 75KMH 1/12 AWD 4X4 High Speed RC Car Off-Road Buggy","USD 228.18","USD 136.91","40%","USD","7","USD 9.58","23","100.0%","https://s.click.aliexpress.com/e/_Dmh292B"
"1005003974107714","https://ae04.alicdn.com/kf/Sae81875c19cf4b7da9fb6c757e7f1211l.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/352345393278.mp4","Remote Control Car Mini RC Stunt Car 360° Flip Rotation Car Toys for Boys Girls Birthday Gifts Indoor Outdoor Toy","USD 7.95","USD 6.36","20%","USD","7","USD 0.45","188","94.1%","https://s.click.aliexpress.com/e/_DeVZ21D"
"1005004646860968","https://ae04.alicdn.com/kf/S7760933cf8734b38a9ce30ae492cf57b7.jpg",,"Mn78 1/12 2.4g Full Scale Cherokee Remote Control Car Four-wheel Drive Climbing Car Rc Toys For Boys Gifts","USD 84.09","USD 63.91","24%","USD","12.0","USD 7.67","51","100.0%","https://s.click.aliexpress.com/e/_Ddczm8R"
"1005003716479638","https://ae04.alicdn.com/kf/Hed289ba40ee740be92905a7305dd301f5.jpg",,"Waterproof F540 3300KV 4370KV Motor Brushless Combo 60A ESC Speed Controller Program Card for 1/10 RC Car Traxxas","USD 17.90","USD 9.49","47%","USD","8.0","USD 0.76","42","97.5%","https://s.click.aliexpress.com/e/_DdVVYwT"
"1005004033517823","https://ae04.alicdn.com/kf/S8cbc2cb9cfb846da8125df784f4e70dfC.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/352375939702.mp4","75KMH WLtoys 144010 Brushless Buggy High Speed 1/14 Off-Road 4WD RC Car RTF","USD 203.00","USD 121.80","40%","USD","7","USD 8.53","22","100.0%","https://s.click.aliexpress.com/e/_DeEZCtp"
"32672056591","https://ae04.alicdn.com/kf/H4f08cec2f3bb4d30a69fbb5464078859b.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/250151345306.mp4","RC Car with camera HD 2.0mp Hot sale WIFI Bounce Car PEG SJ88 4CH 2.4GHz Jumping Sumo with Flexible Wheels Remote Control FSWB","USD 26.90","USD 26.90","0%","USD","7","USD 1.88","195","93.1%","https://s.click.aliexpress.com/e/_DDZ2k91"
"1005002774822606","https://ae04.alicdn.com/kf/H0f50ed08b96c4f3bb91a8923436ff36bH.png",,"For Wltoys 144001 144010 124016 124017 124019 124018 RC Car Parts 65mm Metal Wheel Rim + High Grip Rubber Tires Tyres","USD 9.11","USD 9.11","0%","USD","8.0","USD 0.73","147","95.0%","https://s.click.aliexpress.com/e/_DlIYfqB"
"1005003852803342","https://ae04.alicdn.com/kf/S0bcce9424c394ca691f0e353cc93aac76.jpg",,"Ferrari F40 RC Car 1:14 Scale Remote Control Car Model Radio Controlled Auto Machine Vehicle Toy Gift for Kids Adults Rastar","USD 47.80","USD 47.80","0%","USD","7","USD 3.35","21","100.0%","https://s.click.aliexpress.com/e/_DBo5ad1"
"1005004351942031","https://ae04.alicdn.com/kf/S4180375338e946b3a0cd802fbd54bd30s.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100040050638.mp4","2022 NEW D32Mini 1:16 RC Car With Led Lights 2.4G Radio Remote Control Car Off-Road Trucks Play Toys For Boys Children Gifts","USD 57.05","USD 39.93","30%","USD","8.0","USD 3.19","36","97.8%","https://s.click.aliexpress.com/e/_DEAyeth"
"1005003183904557","https://ae04.alicdn.com/kf/Hb44c5c4eeef64dd7ae3b0295905a92b7N.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/323123512354.mp4","DEERC 1:14 / 1:16 RC Car With Led Lights 2.4G Radio Remote Control Car Off-Road Trucks 60 Mins Play Toys For Boys Children Gifts","USD 46.78","USD 23.39","50%","USD","8.0","USD 1.87","223","93.9%","https://s.click.aliexpress.com/e/_DFGXQeb"
"4001114366464","https://ae04.alicdn.com/kf/H414e309825e24bdb8339b866ea90361eQ.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/268195590006.mp4","1:58 Remote Control MINI RC Car Battery Operated Racing Car PVC Cans Pack Machine Drift-Buggy Bluetooth radio Controlled Toy Kid","USD 16.99","USD 13.08","23%","USD","12.0","USD 1.57","309","94.1%","https://s.click.aliexpress.com/e/_DBBCspD"
"1005003875749615","https://ae04.alicdn.com/kf/Sb92a98e060a84c57bc54f9137fef9f5av.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/351926939050.mp4","Ferrari F1 1:12 Scale 1:18 RC Car Radio Remote Control Toy Formula Racing Car Model Auto Machine Gift for Kids Adults Rastar","USD 28.50","USD 28.50","0%","USD","7","USD 2.00","22","96.7%","https://s.click.aliexpress.com/e/_DdnRENp"
"1005004606027494","https://ae04.alicdn.com/kf/A53b9bf23ebff41bcb75aed408c024f48b.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100076484254.mp4","MJX 16207 Hyper Go 1/16 Brushless RC Car Hobby 2.4G Remote Control Toy Truck 4WD 65KMH High-Speed Off-Road Buggy","USD 212.50","USD 119.00","44%","USD","7","USD 8.33","59","100.0%","https://s.click.aliexpress.com/e/_De57cD1"
"1005002311921762","https://ae04.alicdn.com/kf/Hee39dd26eff846cc9c6fce9ee25e76ebl.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/344070187844.mp4","1/18 Four-wheel Drive Toy Car RC Professional Adult Drift Model Car High-speed Charging Children Remote Control GTR Racing Car","USD 105.17","USD 68.36","35%","USD","7","USD 4.79","32","88.9%","https://s.click.aliexpress.com/e/_DD2OFXZ"
