"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004939092526","https://ae04.alicdn.com/kf/A2e291dfa690240ccabe159653f7b8301f.jpg",,"110mm stunt scooter wheel at scooters","USD 16.77","USD 16.77","0%","USD","7","USD 1.17","0","null%","https://s.click.aliexpress.com/e/_DDbvxEF",,,,,,
"1005004939203117","https://ae04.alicdn.com/kf/A1802a1616c644b7f8b16e5ae35c1f7a7i.jpg",,"Wheel for stunt scooter ateox al 100mm","USD 15.48","USD 15.48","0%","USD","7","USD 1.08","0","null%","https://s.click.aliexpress.com/e/_DFpHkbv",,,,,,
"1005003266543197","https://ae04.alicdn.com/kf/U4d8b97d49cf84414ac43101ca15805c9Y.jpg",,"Suspension shock absorber Monorim V4 2022 XIAOMI M365 PRO 2 ESSENTIAL 1S wheel tires 10 inch electric SCOOTER electric SCOOTER spare parts XIAOMI SCOOTER","USD 94.19","USD 94.19","0%","USD","7","USD 6.59","5","100.0%","https://s.click.aliexpress.com/e/_DlKX1Jl",,,,,,
"1005002272857624","https://ae04.alicdn.com/kf/Sb30e2d3ebf48433e96da65702a743b27A.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100009176929.mp4","2600W Dual Motor Electric Scooters Adults 75KM/H Fast Speed Folding E Scooter USA Europe Stock 52V 20A Battery 10"" Tire Off road","USD 1220.00","USD 854.00","30%","USD","8.0","USD 68.32","22","100.0%","https://s.click.aliexpress.com/e/_DEbLRUP",,,,,,
"1005001834076497","https://ae04.alicdn.com/kf/Hd54c09e6506b4b88be885f8f9d572b26Y.jpg",,"Foldable Kids Scooters Multifunction Children's Scooter 3 In 1 Cute Ladybug Kick Scooter Kids With LED Flashing Wheels Adjustabl","USD 47.81","USD 33.47","30%","USD","7","USD 2.34","26","83.3%","https://s.click.aliexpress.com/e/_DdP8de3",,,,,,
"1005005147180875","https://ae04.alicdn.com/kf/H1630379104174b3bb44c9399d5eba4543.png",,"New Aluminum Kick Scooter Push Scooters Best Gifts for Children Kids Boys Girls","USD 53.37","USD 21.35","60%","USD","20.0","USD 4.27","0","null%","https://s.click.aliexpress.com/e/_DBbkOYj",,,,,,
"1005002064220397","https://ae04.alicdn.com/kf/H9aaf6fc23e2b450bb464803fc74c6a0fo.png",,"360 Barrier-free Turning Scooter PU Wheels Great Scooters for Adults and Teens 18.9x4.3inch","USD 98.99","USD 98.99","0%","USD","50.0","USD 49.50","0","null%","https://s.click.aliexpress.com/e/_DkbfNFH",,,,,,
"1005003353144569","https://ae04.alicdn.com/kf/Ud62e8d2d93d2476fa192d655a0100dc3y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100041503219.mp4","F1 Ferrari Xiaomi M365 vinyl, m365 Pro ,m365 Pro 2 ,m365 1S, Essential, scooter body stickers, xiaomi skateboard, xiaomi m365 pro electric scooter, skateboard","USD 33.43","USD 33.43","0%","USD","8.0","USD 2.67","2","null%","https://s.click.aliexpress.com/e/_DBz1gn1",,,,,,
"1005005147203436","https://ae04.alicdn.com/kf/S565ff6713cf54512a76a8e499f4115ceD.png",,"3 Adjustable Height Kids Adults Kick Scooter Foldable 2 Wheels Wide Deck Rear Fender Brake 33.1x14.9x13.8inch","USD 45.22","USD 18.09","60%","USD","20.0","USD 3.62","0","null%","https://s.click.aliexpress.com/e/_Dcx4zej",,,,,,
"1005005147209388","https://ae04.alicdn.com/kf/Scf8a21293547475d820d4c6b25e3e8a2Y.png",,"Kids Adults Kick Scooter Foldable 2 Wheels Wide Deck Rear Fender Brake 100kg/220lbs Wheel Diameter: 20cm/7.9inch","USD 57.27","USD 22.91","60%","USD","20.0","USD 4.58","4","null%","https://s.click.aliexpress.com/e/_DDzFosT",,,,,,
"1005005147207763","https://ae04.alicdn.com/kf/H26d1e5246f794ac480df8d66062e79c7R.png",,"Folding Children's Scooter 2-8 Years Old Three-wheel Flashing Skateboard Swing Car Indoor And Outdoor Children's Scooter","USD 55.91","USD 22.36","60%","USD","20.0","USD 4.47","0","null%","https://s.click.aliexpress.com/e/_DdQLLnH",,,,,,
"1005002028956950","https://ae04.alicdn.com/kf/H73a2aad143dc441889030c4caae26ee2q.png",,"Scooters Adult Kick Scooter Children Adjustable Height Kick Scooter Wide Deck Foldable For Girls Boys","USD 49.84","USD 31.90","36%","USD","7","USD 2.23","3","0.0%","https://s.click.aliexpress.com/e/_DkW5TX5",,,,,,
"1005003259867924","https://ae04.alicdn.com/kf/U5505e92eb3ec44009546abd44de0e3b7I.jpg",,"Controller/Motherboard 3.0 for XIAOMI M365, PRO, PRO 2, ESSENTIAL, 1S electric scooter","USD 67.59","USD 67.59","0%","USD","7","USD 4.73","3","0.0%","https://s.click.aliexpress.com/e/_DkVcoIX",,,,,,
"1005005147244213","https://ae04.alicdn.com/kf/S20819f83a9d5425f85ea70f52b84e3baW.jpg",,"Kids Adults Kick Scooter Foldable 2 Wheels Wide Deck Rear Fender Brake White Black 33.1x14.9x13.8inch","USD 58.13","USD 23.25","60%","USD","20.0","USD 4.65","0","null%","https://s.click.aliexpress.com/e/_Dedn5VD",,,,,,
"1005004939128153","https://ae04.alicdn.com/kf/Ad89de09b07d6499ea489a7ed3ec3dac3W.jpg",,"Xaos clover green 125mm stunt scooter wheel","USD 17.42","USD 17.42","0%","USD","7","USD 1.22","0","null%","https://s.click.aliexpress.com/e/_DkMQx1h",,,,,,
"1005004892857010","https://ae04.alicdn.com/kf/U3a600dd0def84e4d9d7ad04cec0ceba8Y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100095880700.mp4","Red Bull Xiaomi M365 / Pro / Pro2 / 1S / Essential //scooter body stickers","USD 33.43","USD 33.43","0%","USD","7","USD 2.34","2","80.0%","https://s.click.aliexpress.com/e/_DkX2967",,,,,,
"1005005147237564","https://ae04.alicdn.com/kf/Heaae59557e3a4cb4978086fc725527f4K.png",,"Kick Scooter Kids Adults Foldable 2 Wheels Wide Deck Rear Fender Brake Precision speed skating wheel High Elasticity","USD 66.78","USD 26.71","60%","USD","20.0","USD 5.34","0","null%","https://s.click.aliexpress.com/e/_DnS45rd",,,,,,
"10000331927003","https://ae04.alicdn.com/kf/Ufdc75a46cd68482c8796c2ad055cadec1.jpg",,"Cover for scooter Xiaomi MiJia M365/m365pro","USD 8.39","USD 8.38","0%","USD","7","USD 0.59","5","100.0%","https://s.click.aliexpress.com/e/_Dcwbo5l",,,,,,
"1005003765001016","https://ae04.alicdn.com/kf/A3ea4242001eb4c33b6d4a30473973dd1F.jpg",,"Suzuki vinyl Xiaomi M365 / Pro / Pro2 / 1S / Essential // scooter body stickers","USD 33.43","USD 33.43","0%","USD","8.0","USD 2.67","1","100.0%","https://s.click.aliexpress.com/e/_Dk7jHLH",,,,,,
"1005004891306233","https://ae04.alicdn.com/kf/S183524febe0049f9b49766dab8caec12h.jpg",,"Electric Scooter Front Wheel Drum Brake Aluminum Alloy Brake Pads Compatible For Ninebot Max G30 Dropshipping","USD 5.95","USD 3.51","41%","USD","15.0","USD 0.53","0","null%","https://s.click.aliexpress.com/e/_DkTgSeR",,,,,,
"1005005147282111","https://ae04.alicdn.com/kf/S7268d31e33c94ce3bd504fa1f07e8de4f.jpg",,"Pro Stunt Scooter Fun Scooter with ABEC 9 Ball Bearings Aluminium Wheels Scooter for Kids Adult Scooter","USD 66.88","USD 26.75","60%","USD","20.0","USD 5.35","0","null%","https://s.click.aliexpress.com/e/_DFYsKTZ",,,,,,
"1005003433719039","https://ae04.alicdn.com/kf/H68f4cb7fc8b443549a126852cf3f455fV.jpg",,"three wheel scooter kick scooter for children 3-8 yearls old foldable scooter Luminous Wheel Two Modes Outdoors Scooter For Kids","USD 5.72","USD 4.58","20%","USD","7","USD 0.32","0","null%","https://s.click.aliexpress.com/e/_DeCOAU7",,,,,,
"1005005147200476","https://ae04.alicdn.com/kf/Sa8bdcf3c83dc4fd9b81d5ec0f33a5009a.jpg",,"Children Scooter 3 Wheel Scooter with Light Up Flash Wheels Music Scooter For 2-8 Year Kids Adjustable Height Foldable Scooter","USD 46.46","USD 18.58","60%","USD","20.0","USD 3.72","0","null%","https://s.click.aliexpress.com/e/_DCLJH2b",,,,,,
"1005004796984227","https://ae04.alicdn.com/kf/A14d9fd26b6e54810929c487c1c52f4784.jpg",,"Kick scooter-кикборд novatrack disco-kids 120H. discokids. bgbl20","USD 22.58","USD 18.83","0%","USD","7","USD 1.32","0","null%","https://s.click.aliexpress.com/e/_Dm3rRA3",,,,,,
"1005003195842868","https://ae04.alicdn.com/kf/H4ddee3d547a54479b4791e7479820280u.jpg",,"3pcs/set Reusable Eyebrow Stencil Set Eye Brow DIY Trimming Draw Eyebrow Shape Card Eye Makeup Beauty Tools for Beginners","USD 1.47","USD 0.59","60%","USD","7","USD 0.04","35","95.1%","https://s.click.aliexpress.com/e/_DcgaogL",,,,,,
"1005005035288874","https://ae04.alicdn.com/kf/S4a719d31d35d4434a32fac7140ca9b6dF.jpg",,"Free VAT Tax Original Kaabo Mantis King GT 3 Pins Charging Port Connecting With Battery Port  for Kaabo Mantis King GT Scooter","USD 11.08","USD 11.08","0%","USD","7","USD 0.78","0","null%","https://s.click.aliexpress.com/e/_DmC5ZzD",,,,,,
