ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005006241162956,https://ae01.alicdn.com/kf/Sfbd6a235c01a4c0f855419dbd987a741b.jpg,,YuooMuoo 2023 Autumn Winter Women Knitted Dress Brand Fashion O-neck Buttons Bodycon Sweater Dress with Belt Lady Office Dress,EUR 33.49,EUR 14.74,55%,EUR,8.0,EUR 1.18,8.0,EUR 1.18,888,93.4%,https://s.click.aliexpress.com/e/_okGLdQ2,,,,,,
1005005940736811,https://ae01.alicdn.com/kf/S4bac2466c04742b29283152951b45586C.jpg,,"Halter Neck Ruffle Trim Romper, Solid Casual Jumpsuit For Summer & Spring, Women's Clothing",EUR 15.59,EUR 6.86,55%,EUR,8.0,EUR 0.55,8.0,EUR 0.55,134,92.6%,https://s.click.aliexpress.com/e/_oEpH6Yi,,,,,,
1005006332949627,https://ae01.alicdn.com/kf/S7589e531971b4657acf480c99e729fe7B.jpg,,American graphic t shirts for women and men Oversized  Y2k Tops Korean Goth T shirt Couples vintage new Sweatshirt women clothes,EUR 14.66,EUR 14.37,1%,EUR,8.0,EUR 1.15,8.0,EUR 1.15,257,94.3%,https://s.click.aliexpress.com/e/_okNfbFU,,,,,,
1005006086962959,https://ae01.alicdn.com/kf/Sc2caefb7ec2e4ad2a92b5466b8020ca0D.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/223210212/p/1/e/6/t/10301/1100185345560.mp4,Women's Woolen Pleated Short Skirt Autumn Winter American Korea Style Cheerleading Girl Straight A-line High Waist Mini Skirt,EUR 15.46,EUR 15.46,0%,EUR,8.0,EUR 1.24,8.0,EUR 1.24,825,95.3%,https://s.click.aliexpress.com/e/_ol0BfAE,,,,,,
1005005226004082,https://ae01.alicdn.com/kf/S8ce8238d00f646c6a81e3031e92f9a10M.jpg,,Woman's pure color jeans denim high waist jeans street play cultivate one's morality pants shaping figure with high waist jeans,EUR 15.56,EUR 15.56,0%,EUR,8.0,EUR 1.24,8.0,EUR 1.24,232,91.6%,https://s.click.aliexpress.com/e/_oFsdDP4,,,,,,
1005004880815335,https://ae01.alicdn.com/kf/Sd627bbda21904685abec0d688d7ca282E.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/251692622/p/1/e/6/t/10301/1100095227075.mp4,2022 Autumn Pink Elegant Two Piece Set Women Korean Style Balzer Coat+Strap Mini Dress Set Female Solid Casual Slim Designer Set,EUR 46.20,EUR 25.41,45%,EUR,8.0,EUR 2.03,8.0,EUR 2.03,28,95.0%,https://s.click.aliexpress.com/e/_okPv9H0,,,,,,
1005006050139415,https://ae01.alicdn.com/kf/S2fe102dfea164ac7ab5d439413e18ef0C.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/237786239/p/1/e/6/t/10301/1100182615099.mp4,2023 Autumn New Silk Solid Chiffon Long sleeved Dress for Women Loose Fit Large Waist Black Slim Knee Length A-line Dress Robe,EUR 68.18,EUR 28.64,57%,EUR,8.0,EUR 2.29,8.0,EUR 2.29,19,93.3%,https://s.click.aliexpress.com/e/_oFgnP0A,,,,,,
1005006262483265,https://ae01.alicdn.com/kf/S330e3b8ea63e4377a07c7c58fd4d4357V.jpg,,Women Fashion Single Shoulder Asymmetrical Denim Smock Blouse Femme Chic Pocket Buttons Shirt Chemise Blusas Tops,EUR 18.54,EUR 18.54,0%,EUR,8.0,EUR 1.48,8.0,EUR 1.48,146,95.7%,https://s.click.aliexpress.com/e/_ok0QIka,,,,,,
1005001470707887,https://ae01.alicdn.com/kf/S55cb9e93c70940ec9b485ccccebf63d41.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/3332027624/p/1/e/6/t/10301/342419422779.mp4,Women 85% Silk 15% Cashmere Round Neck everyday Long Sleeve Pullover Sweater Top Shirt JN541,EUR 26.07,EUR 26.07,0%,EUR,8.0,EUR 2.09,8.0,EUR 2.09,140,96.1%,https://s.click.aliexpress.com/e/_omRgJqi,,,,,,
1005005413026341,https://ae01.alicdn.com/kf/S88455f8243f4411b810166826437475ea.jpg,,Women Clothing 2023 New Simplicity Printing Chiffon Elastic Waist Wide Leg Pants Summer Office Lady Buttons Cropped Trousers,EUR 26.11,EUR 16.19,37%,EUR,8.0,EUR 1.30,8.0,EUR 1.30,19,97.5%,https://s.click.aliexpress.com/e/_opwc5LG,,,,,,
