"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004645761896","https://ae04.alicdn.com/kf/S62a611983ddf4cd1a908559ebb54fea3h.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100080539508.mp4","Mn78 RC Car 1/12 2.4g Full Scale Cherokee Remote Control Car Four-wheel Drive Climbing Car Rc Toys For Boys Gifts","USD 55.61","USD 38.37","31%","USD","7","USD 2.69","37","73.3%","https://s.click.aliexpress.com/e/_DDVSiUn",,,,,,
"1005003494303812","https://ae04.alicdn.com/kf/H5ef39c4a96cf48d197380e3005db3640K.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/333851220283.mp4","UdIRC 1603 1604 RTR Brushed Brushless Version 1/16 2.4G 4WD RC Car Led Light Drift Proportional Off Road Vehicles Toy Gift Kid","USD 95.38","USD 66.77","30%","USD","8.0","USD 5.34","2","null%","https://s.click.aliexpress.com/e/_DFguVwf",,,,,,
"1005003541172759","https://ae04.alicdn.com/kf/He3e4e51b7b73460293d20a3bc1d4e656k.jpg",,"G2063 1:12 Military War RC Car Battle Tank Heavy Large Interactive Remote Control Toy Car with Tail light spray Electronic Boy","USD 187.12","USD 134.73","28%","USD","7","USD 9.43","4","73.3%","https://s.click.aliexpress.com/e/_DDhi6xz",,,,,,
"1005004351863291","https://ae04.alicdn.com/kf/S5f54efebc0e84b40980e2e0b9dab2dfcg.jpg",,"WLtoys 104002 104001 High Speed Brushless RC Car 2.4G 60KM/H 1:10 4WD Off-Road Remote Control Racing Car Electric RC Car Toys","USD 452.80","USD 199.23","56%","USD","7","USD 13.95","17","83.3%","https://s.click.aliexpress.com/e/_DBPd18x",,,,,,
"1005003144174324","https://ae04.alicdn.com/kf/H8a504ec759e042aab7bbc87f0c4db81eu.jpg",,"TRX-6 G500 G63 Stainless Steel Sheet Anti-skid Plate Hood Anti Slide Plate For 1/10 RC Crawler Car Traxxas TRX4 TRX6","USD 34.00","USD 17.34","49%","USD","7","USD 1.21","6","0.0%","https://s.click.aliexpress.com/e/_DEIpbRZ",,,,,,
"1005002629372839","https://ae04.alicdn.com/kf/Hebcc87ff87f24191b5775b7bebe2ec05W.jpg",,"Tamiya TT-01 Metal Swing Shaft CVD 53792 for 1/10 RC Car TT01 TT-02 TT02 TA04 Upgrade Parts","USD 13.00","USD 6.63","49%","USD","7","USD 0.46","3","100.0%","https://s.click.aliexpress.com/e/_DFxwx7v",,,,,,
"1005003088123919","https://ae04.alicdn.com/kf/H43684b2ff982428dae96c31a56ab1781M.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/320947702469.mp4","UDIRC SG 1603 RTR Brushless Several Battery 1/16 2.4G 4WD RC Car LED Light Drift Proportional Off Road Vehicles Toy Gift Kid","USD 102.01","USD 73.45","28%","USD","7","USD 5.14","3","40.0%","https://s.click.aliexpress.com/e/_DDX0OiF",,,,,,
"1005005094180402","https://ae04.alicdn.com/kf/S49c304514605431fa2a203fb80f72fd4L.jpg",,"1:12 2.4g Remote Control Car 6-channel High-speed Spray Remote Control Car With Light Sound Effect For Children Toys","USD 48.80","USD 39.04","20%","USD","7","USD 2.73","0","null%","https://s.click.aliexpress.com/e/_DEJOUYn",,,,,,
"1005003086403046","https://ae04.alicdn.com/kf/H3d67513c05764b388fe3acffa29cbf67e.jpg",,"MN 88S 1:16 RC Car Soviet 6WD Army Kaural Off-Road Crawler Car Vehicle Model Toy Kid Gift Remote Control Drift Machine Trucks","USD 93.97","USD 65.78","30%","USD","7","USD 4.60","2","100.0%","https://s.click.aliexpress.com/e/_DFzEO4P",,,,,,
"1005004914514815","https://ae04.alicdn.com/kf/Sb1199a8f73f747f3bb43e02ef46b551au.jpg",,"Fast & Furious 1:10 R/C 2002 Nissan Skyline GT-R  Electric Car for Kids  Rc Crawler 1/10  Karting","USD 78.88","USD 66.26","16%","USD","30.0","USD 19.88","0","null%","https://s.click.aliexpress.com/e/_DE9ksOL",,,,,,
"1005003351359828","https://ae04.alicdn.com/kf/Hf462026eb0d64f8f8923ee7679f823879.jpg",,"G500 MN86KS 1/12 MN Car KIT 2.4G 4WD 230MM Wheelbase Crawler Off Road 390 Brushed Motor Truck WPL MN RC Car 1:12 Unassembled DIY","USD 129.98","USD 64.99","50%","USD","7","USD 4.55","3","100.0%","https://s.click.aliexpress.com/e/_Dew2KjN",,,,,,
"1005002995763096","https://ae04.alicdn.com/kf/H08a0c7794ab54c24b65a892267b591e7S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/318656630332.mp4","WLtoys 12427 12428 2.4G 1:12 4WD Crawler Remote Control RC Car With LED Light Two Battery Buggy Vehicle Trucks Toys Kid","USD 89.43","USD 66.18","26%","USD","8.0","USD 5.29","5","65.0%","https://s.click.aliexpress.com/e/_DlbWHsF",,,,,,
"1005004843129092","https://ae04.alicdn.com/kf/Sedea9af440d1430f9d1df63afafacb1en.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100092973455.mp4","Fms 1/24 12402 MAX 2.4G RC Car Small Metal Differential Door Bridge Two-speed Transmission High Speed Off-Road Model Toy","USD 217.09","USD 151.96","30%","USD","8.0","USD 12.16","4","100.0%","https://s.click.aliexpress.com/e/_DmD2fcL",,,,,,
"1005004321588927","https://ae04.alicdn.com/kf/Sda8365ff90c04b93a0759dd6c28385e91.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100036958158.mp4","1:16 4WD RC Car SG1603 1604 2.4G Drift Car 60Km/H High Speed RTR Trucks ESP LED Light Off-Road Trucks boys Toys for Children","USD 93.92","USD 65.74","30%","USD","8.0","USD 5.26","6","null%","https://s.click.aliexpress.com/e/_DBRy4P9",,,,,,
"1005004785358999","https://ae04.alicdn.com/kf/S8e54d9cf05014f5d92d3a42112e57216Q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100098676530.mp4","RC Car 4WD 2.4G Water Bomb Tank Gesture Radio Remote Controlled Shooting Competitive 360°Stunt Drift Off-road Car Kids Toy Gifts","USD 82.00","USD 41.82","49%","USD","8.0","USD 3.35","5","null%","https://s.click.aliexpress.com/e/_DCUfLtl",,,,,,
"1005004751655705","https://ae04.alicdn.com/kf/S2f43a53bb7fd42b59f4acfa2d303d6bcj.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100088108241.mp4","NEW HS 18331 18332 1:18 4WD RC CAR 40KM/H High Speed Racing Off-Road Vehicle Drive Car Remote Control Toys Buggy 1/18 Cars","USD 78.92","USD 46.56","41%","USD","8.0","USD 3.72","8","100.0%","https://s.click.aliexpress.com/e/_Dd0ZEFV",,,,,,
"1005004966416422","https://ae04.alicdn.com/kf/S80ea4dbf7a244a80b83eb00fb917ceaag.jpg",,"For Fms FXC24 POWER WAGON 12401 1/24 2.4g 4wd Rc Car Crawler Led Lights Off-road Truck Vehicles Models Toys Boys Gift","USD 252.10","USD 126.05","50%","USD","7","USD 8.82","7","null%","https://s.click.aliexpress.com/e/_DlcGrQf",,,,,,
"1005003898486520","https://ae04.alicdn.com/kf/Sb06ef35c599549418bc7c4ab0b19457cW.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100016871750.mp4","2.4G Anti Gravity Wall Climbing Remote Control Wall Climbing RC Car  Antigravity Auto Toy Cars Wristwatch Novel Gift For 7-18y+","USD 29.17","USD 20.42","30%","USD","7","USD 1.43","11","100.0%","https://s.click.aliexpress.com/e/_DFiI2E7",,,,,,
"1005004856292045","https://ae04.alicdn.com/kf/Sb7decd61a10a4aec8c9d6281fb50d93bb.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/346667686470.mp4","RC Cars Off Road 4x4 with LED Headlight 1/16 Scale Rock Crawler 4WD 2.4G 50KM High Speed Drift Remote Control Monster Truck Toys","USD 105.28","USD 68.43","35%","USD","8.0","USD 5.47","6","20.0%","https://s.click.aliexpress.com/e/_Dd5WiKL",,,,,,
"1005004763236821","https://ae04.alicdn.com/kf/S5dd8702f5aec44dd97f0d91c814f793b9.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100088695552.mp4","1:12 37CM Big 4WD RC Car 2.4G Radio Control Car Buggy Off-Road 4x4 Remote Control Trucks Boys Toys for Children Free Shipping","USD 98.67","USD 38.48","61%","USD","7","USD 2.69","2","null%","https://s.click.aliexpress.com/e/_DnokFrp",,,,,,
"1005005094159646","https://ae04.alicdn.com/kf/S9c327c337f0d423da05e25884e0905b1P.jpg",,"Children Stunt Remote Control Car 4wd Gesture Induction Twisting Off-road Vehicle With Light Music For Boys Gifts","USD 53.22","USD 39.91","25%","USD","7","USD 2.79","0","null%","https://s.click.aliexpress.com/e/_DkuSFGx",,,,,,
"1005002776704048","https://ae04.alicdn.com/kf/H4635257308b64dd2b326f09c4deba535n.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/313904059741.mp4","Huina 1573 1/14 2.4Ghz 10CH Rc Graafmachine Bouwvoertuigen Oplaadbare Metal Auto Demonstratie Led Light Rc Truck Speelgoed","USD 77.68","USD 54.38","30%","USD","7","USD 3.81","1","0.0%","https://s.click.aliexpress.com/e/_DeL28e7",,,,,,
"1005004954424191","https://ae04.alicdn.com/kf/A0f3011adb4044aa18f84a25f55ed98515.jpg",,"4WD 1:16 RC Car With LED Lights Spray 2.4G Radio Remote Control Cars Buggy Off-Road Control Trucks Boys Toys For Children Gifts","USD 87.83","USD 44.79","49%","USD","7","USD 3.14","17","100.0%","https://s.click.aliexpress.com/e/_DB7QxSB",,,,,,
"1005003069781196","https://ae04.alicdn.com/kf/H2e9ad88c265b4c3dbf9ab14bfdc6d300f.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/319727128654.mp4","MN45 1/12 RC Car Simulation Drift Climbing Truck LED Light on-road 130 Brushed Motor for Kids Gifts Toys VS WLtoys 144001","USD 55.37","USD 40.97","26%","USD","8.0","USD 3.28","3","73.3%","https://s.click.aliexpress.com/e/_DB0yVgx",,,,,,
